time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.010000,-0.2426,0.0463,-0.3145,0.400
0.010000,-0.1916,-0.0200,-0.1960,0.275
0.010000,-0.1434,-0.1036,0.0461,0.183
0.010000,-0.0882,-0.2411,0.2495,0.358
0.010000,-0.0272,-0.4202,0.2720,0.501
0.010000,0.0345,-0.5159,0.1459,0.537
0.013000,0.1051,-0.5467,0.0908,0.564
0.017000,0.1262,-0.4739,0.1618,0.516
0.022000,0.1220,-0.3412,0.1419,0.389
0.027000,0.0938,-0.1918,0.1330,0.252
0.032000,0.0435,-0.0305,0.1269,0.138
0.037000,-0.0070,0.1056,-0.0478,0.116
0.042000,-0.1195,0.1895,-0.1500,0.270
0.048000,-0.2855,0.2216,0.0822,0.371
0.052000,-0.4550,0.2203,0.2879,0.582
0.057000,-0.6284,0.2024,0.3759,0.760
0.066000,-0.6933,0.1349,0.2818,0.760
0.067000,-0.6520,0.0478,0.0854,0.659
0.071000,-0.5092,-0.0455,-0.0939,0.520
0.076000,-0.2915,-0.1225,-0.1206,0.338
0.081000,-0.0420,-0.1750,-0.1659,0.245
0.086000,0.2468,-0.2342,-0.5430,0.641
0.091000,0.3749,-0.2098,-0.9991,1.088
0.096000,0.2438,-0.0161,-0.6588,0.703
0.101000,-0.0846,0.1676,0.2712,0.330
0.105000,-0.4259,0.0968,0.7851,0.898
0.111000,-0.7670,-0.1538,0.5949,0.983
0.115000,-0.9303,-0.3176,0.2478,1.014
0.120000,-0.8274,-0.2602,0.1778,0.885
0.125000,-0.5463,-0.0771,0.0610,0.555
0.130000,-0.2934,0.1947,-0.1239,0.373
0.134000,-0.2227,0.6161,0.3033,0.722
0.139000,-0.4672,0.9969,1.0552,1.525
0.146000,-0.9395,1.1141,1.3785,2.006
0.150000,-1.2850,0.8810,0.9497,1.825
0.154000,-1.3333,0.4338,0.1393,1.409
0.159000,-1.0896,0.0096,-0.4352,1.173
0.164000,-0.6726,-0.1542,-0.7004,0.983
0.169000,-0.2204,-0.0149,-0.4463,0.498
0.174000,0.2249,0.2492,0.2359,0.410
0.179000,0.7158,0.3639,0.7108,1.072
0.184000,1.2527,0.3208,0.5993,1.425
0.189000,1.7295,0.1545,0.1613,1.744
0.195000,2.1155,-0.0556,-0.0874,2.118
0.199000,2.3878,-0.2664,0.0794,2.404
0.204000,2.5312,-0.4222,0.3973,2.597
0.208000,2.5411,-0.4843,0.5154,2.638
0.213000,2.3714,-0.4654,0.4432,2.457
0.218000,2.0238,-0.4159,0.1139,2.069
0.223000,1.5791,-0.3465,-0.3669,1.658
0.230000,1.0863,-0.2893,-0.6157,1.282
0.233000,0.6024,-0.2346,-0.6779,0.937
0.237000,0.2269,-0.1296,-0.7910,0.833
0.243000,-0.0276,0.0627,-0.8079,0.811
0.253000,-0.1336,0.2920,-0.8295,0.889
0.254000,-0.0843,0.4780,-0.7900,0.927
0.257000,0.0109,0.6039,-0.7618,0.972
0.263000,0.0963,0.6147,-0.7998,1.013
0.268000,0.1050,0.4736,-0.7527,0.895
0.279000,0.0735,0.1747,-0.6912,0.717
0.279000,0.0307,-0.2277,-0.5145,0.564
0.282000,0.0586,-0.6354,-0.2794,0.697
0.286000,0.2405,-0.9229,-0.1773,0.970
0.291000,0.5673,-1.0331,-0.1266,1.185
0.300000,0.9193,-0.9470,-0.1938,1.334
0.301000,1.1339,-0.8004,0.0387,1.388
0.310000,1.1390,-0.7414,0.2466,1.381
0.311000,0.9642,-0.7246,0.3221,1.248
0.316000,0.5741,-0.6911,0.5764,1.067
0.321000,0.0704,-0.5967,0.6642,0.896
