time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001000,0.1899,0.5925,-2.2089,2.295
0.001000,0.1513,0.5848,-2.2316,2.312
0.006000,0.1187,0.5660,-1.9999,2.082
0.010000,0.0922,0.5373,-1.5881,1.679
0.019000,0.0669,0.4965,-1.0406,1.155
0.020000,0.0145,0.4070,-0.4794,0.629
0.025000,-0.0695,0.3196,0.0000,0.327
0.031000,-0.1153,0.2065,0.3655,0.435
0.035000,-0.1787,0.1756,0.6984,0.742
0.040000,-0.2543,0.1605,0.8996,0.949
0.045000,-0.3082,0.1050,0.8987,0.956
0.050000,-0.3600,0.0566,0.6864,0.777
0.054000,-0.3706,0.0474,0.4098,0.555
0.059000,-0.2960,0.0598,0.0858,0.314
0.064000,-0.2165,0.0852,-0.2259,0.324
0.069000,-0.2253,0.0819,-0.5469,0.597
0.074000,-0.4111,-0.0283,-0.7624,0.867
0.079000,-0.6203,-0.2100,-0.7183,0.972
0.084000,-0.0688,-0.0798,-0.7137,0.721
0.089000,0.3563,0.0822,-1.0238,1.087
0.093000,0.3937,0.1568,-1.2666,1.336
0.098000,0.3524,0.1827,-1.0740,1.145
0.104000,0.3174,0.2194,-0.6999,0.799
0.108000,0.3033,0.2624,-0.5485,0.680
0.115000,0.2576,0.3052,-0.5239,0.659
0.118000,0.1560,0.3777,-0.3916,0.566
0.123000,0.0596,0.4806,-0.1612,0.510
0.128000,0.0235,0.5943,0.0177,0.595
0.133000,0.1046,0.6803,0.1189,0.698
0.138000,0.2343,0.7121,0.1615,0.767
0.142000,0.3460,0.6708,0.1243,0.765
0.147000,0.3891,0.5887,0.0550,0.708
0.153000,0.3943,0.4949,-0.0535,0.635
0.157000,0.3351,0.4662,-0.1427,0.592
0.163000,0.2725,0.5232,-0.2077,0.625
0.167000,0.2614,0.6483,-0.3167,0.767
0.172000,0.2572,0.8246,-0.4399,0.969
0.177000,0.2635,0.9819,-0.5018,1.134
0.182000,0.2794,1.1416,-0.5397,1.293
0.187000,0.3147,1.2836,-0.5619,1.436
0.191000,0.3739,1.3648,-0.5983,1.536
0.197000,0.4197,1.4020,-0.6513,1.602
0.202000,0.4112,1.4155,-0.6696,1.619
0.206000,0.4081,1.4028,-0.6650,1.605
0.222000,0.3721,1.3784,-0.6461,1.567
0.222000,0.3139,1.3542,-0.6200,1.522
0.222000,0.2298,1.3491,-0.5820,1.487
0.226000,0.1377,1.3548,-0.5046,1.452
0.231000,0.0363,1.4116,-0.4548,1.484
0.235000,-0.0906,1.4610,-0.3932,1.516
0.240000,-0.2087,1.5195,-0.3498,1.573
0.245000,-0.2838,1.5453,-0.3354,1.607
0.250000,-0.2209,1.5806,-0.2793,1.620
0.255000,-0.0115,1.5680,-0.2331,1.585
0.260000,0.2563,1.5400,-0.1965,1.573
0.265000,0.4965,1.4593,-0.1948,1.554
0.270000,0.6768,1.3991,-0.2219,1.570
0.275000,0.8002,1.3353,-0.2334,1.574
0.280000,0.8911,1.3112,-0.2497,1.605
0.284000,0.9894,1.3030,-0.2874,1.661
0.289000,1.0448,1.3025,-0.3585,1.708
0.296000,1.0573,1.3529,-0.4092,1.765
0.299000,1.0430,1.4207,-0.4369,1.816
0.304000,1.0462,1.4782,-0.3916,1.853
0.309000,1.0830,1.5586,-0.2601,1.916
0.315000,1.0628,1.6291,-0.0807,1.947
0.319000,0.9830,1.6617,0.0294,1.931
0.324000,0.8716,1.6501,0.0546,1.867
0.328000,0.7451,1.6134,0.0547,1.778
0.334000,0.6190,1.5445,0.1028,1.667
0.338000,0.5043,1.5426,0.1437,1.629
0.343000,0.3887,1.5516,0.1500,1.607
0.348000,0.2912,1.5990,0.0917,1.628
0.353000,0.1970,1.6314,-0.0191,1.643
0.358000,0.1130,1.6861,-0.1298,1.695
0.363000,0.0321,1.7050,-0.2357,1.721
0.368000,-0.0148,1.7228,-0.3331,1.755
0.372000,-0.0419,1.7161,-0.3731,1.757
0.378000,-0.0510,1.7147,-0.4070,1.763
0.382000,-0.0264,1.7140,-0.3835,1.757
0.387000,0.0250,1.7257,-0.3586,1.763
0.392000,0.0999,1.7091,-0.3408,1.746
0.397000,0.1774,1.6702,-0.3408,1.714
0.402000,0.2467,1.5932,-0.3181,1.643
0.407000,0.3015,1.5107,-0.3133,1.572
0.412000,0.3572,1.4384,-0.2905,1.510
0.417000,0.4066,1.3668,-0.2642,1.450
0.422000,0.4651,1.2937,-0.2296,1.394
0.426000,0.4958,1.2445,-0.2094,1.356
0.431000,0.5206,1.2074,-0.1581,1.324
0.436000,0.5328,1.2041,-0.0959,1.320
0.441000,0.5173,1.2000,0.0107,1.307
0.446000,0.5036,1.2094,0.1271,1.316
0.451000,0.4740,1.2370,0.2558,1.349
0.456000,0.4387,1.2075,0.3706,1.337
0.460000,0.4086,1.1890,0.5193,1.360
0.466000,0.3306,1.1577,0.6759,1.381
0.470000,0.2290,1.1276,0.8439,1.427
0.475000,0.1309,1.0928,1.0619,1.529
0.480000,0.0574,1.0698,1.3874,1.753
0.485000,-0.0477,1.0744,1.8469,2.137
0.490000,-0.2036,1.0941,2.3591,2.608
0.496000,-0.3602,1.0528,2.6856,2.907
0.500000,-0.5146,0.9804,2.7879,3.000
0.506000,-0.6350,0.9058,2.7780,2.990
0.510000,-0.7342,0.8048,2.8217,3.025
0.516000,-0.8657,0.7390,2.9689,3.180
0.520000,-1.0566,0.6097,3.1968,3.422
0.524000,-1.2635,0.4292,3.4072,3.659
0.529000,-1.4749,0.2167,3.5272,3.829
0.534000,-1.6546,-0.0647,3.6199,3.981
0.539000,-1.7280,-0.3585,3.6743,4.076
0.544000,-1.7270,-0.6145,3.6842,4.115
0.549000,-1.6381,-0.7574,3.6364,4.060
0.554000,-1.4488,-0.7936,3.5342,3.901
0.558000,-1.1560,-0.6637,3.3727,3.627
0.564000,-0.7731,-0.4258,3.1615,3.282
0.568000,-0.3477,-0.1186,2.9211,2.944
0.573000,0.0730,0.2356,2.6564,2.668
0.578000,0.4027,0.5679,2.4012,2.500
0.583000,0.6232,0.8548,2.0779,2.332
0.588000,0.7331,1.0362,1.7144,2.133
0.593000,0.6905,1.1342,1.3277,1.878
0.598000,0.5712,1.1761,0.9637,1.624
0.603000,0.3819,1.1043,0.6406,1.333
0.607000,0.1284,0.9727,0.4249,1.069
0.613000,-0.1644,0.8260,0.2464,0.878
0.620000,-0.4233,0.6814,0.0312,0.803
0.624000,-0.6339,0.5645,-0.2085,0.874
0.627000,-0.7700,0.4581,-0.4643,1.009
0.632000,-0.8279,0.4216,-0.6383,1.127
0.637000,-0.8442,0.4098,-0.7464,1.199
0.642000,-0.7893,0.4363,-0.8189,1.218
0.647000,-0.7051,0.4634,-0.8655,1.209
0.652000,-0.6118,0.4830,-0.8783,1.174
0.656000,-0.5126,0.4764,-0.8085,1.069
0.662000,-0.4197,0.4146,-0.6717,0.894
0.666000,-0.3407,0.3440,-0.4981,0.695
0.671000,-0.3113,0.2759,-0.3117,0.520
0.676000,-0.2993,0.2050,-0.1138,0.380
0.681000,-0.3071,0.1095,0.0585,0.331
0.686000,-0.2907,0.0057,0.1215,0.315
0.691000,-0.2746,-0.0634,0.1049,0.301
0.697000,-0.2434,-0.1136,0.0914,0.284
0.700000,-0.1717,-0.1376,0.1144,0.248
0.706000,-0.1192,-0.1434,0.0843,0.205
0.711000,-0.0867,-0.1371,0.0205,0.164
0.715000,-0.0776,-0.1330,-0.0435,0.160
0.720000,-0.1020,-0.1068,-0.1194,0.190
