time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.008000,0.7854,-0.0104,-0.5370,0.951
0.009000,0.7622,-0.0086,-0.3210,0.827
0.009000,0.6758,-0.0483,-0.0852,0.683
0.009000,0.5246,-0.1169,0.1556,0.560
0.009000,0.3333,-0.1952,0.4269,0.576
0.010000,0.0801,-0.2516,0.6398,0.692
0.014000,-0.1384,-0.3019,0.8080,0.874
0.019000,-0.2678,-0.3439,0.8535,0.958
0.023000,-0.2562,-0.3499,0.7920,0.903
0.028000,-0.1832,-0.3008,0.6681,0.755
0.042000,-0.0942,-0.2186,0.5026,0.556
0.042000,-0.0661,-0.1271,0.3687,0.396
0.042000,-0.0831,-0.0642,0.2068,0.232
0.047000,-0.0959,-0.0138,0.0241,0.100
0.052000,-0.1273,0.0698,-0.1318,0.196
0.057000,-0.1250,0.1357,-0.2223,0.289
0.062000,-0.0928,0.1519,-0.2348,0.295
0.067000,-0.0857,0.1530,-0.1973,0.264
0.072000,-0.1179,0.1046,-0.2173,0.268
0.077000,-0.1681,0.0782,-0.2601,0.319
0.082000,-0.1730,0.0737,-0.2234,0.292
0.087000,-0.1103,0.0682,-0.0517,0.140
0.091000,-0.0385,0.0851,0.1116,0.145
0.099000,0.0426,0.1110,0.2099,0.241
0.101000,0.1238,0.1670,0.3001,0.365
0.106000,0.1996,0.1995,0.3341,0.437
0.111000,0.2893,0.2513,0.3908,0.547
0.128000,0.4062,0.2998,0.4669,0.688
0.128000,0.4605,0.3654,0.4978,0.770
0.128000,0.4273,0.4040,0.4142,0.719
0.132000,0.2778,0.4063,0.2825,0.567
0.135000,0.0985,0.3884,0.1327,0.422
0.140000,-0.0778,0.3487,-0.0111,0.357
0.145000,-0.2302,0.2975,-0.1710,0.413
0.152000,-0.3817,0.2087,-0.2888,0.522
0.155000,-0.5211,0.1724,-0.3169,0.634
0.160000,-0.5977,0.1949,-0.2217,0.667
0.169000,-0.5778,0.2286,-0.0691,0.625
0.170000,-0.4631,0.2734,0.0859,0.545
0.174000,-0.2465,0.2472,0.1565,0.383
0.186000,-0.0255,0.2174,0.1808,0.284
0.187000,0.1277,0.2787,0.2274,0.382
0.189000,0.2711,0.4980,0.3761,0.680
0.195000,0.4099,0.7066,0.5800,1.002
0.205000,0.5657,0.8028,0.7846,1.257
0.205000,0.6961,0.7849,1.0058,1.453
0.209000,0.7641,0.7250,1.2324,1.621
0.222000,0.7958,0.6932,1.3846,1.741
0.222000,0.7754,0.6988,1.4917,1.821
0.224000,0.6890,0.7009,1.5210,1.811
0.228000,0.5108,0.6623,1.3787,1.613
0.259000,0.2068,0.6141,1.0729,1.253
0.259000,-0.1372,0.5119,0.4962,0.726
0.260000,-0.4451,0.5417,-0.2660,0.750
0.260000,-0.7142,0.6385,-0.9051,1.318
0.260000,-0.9107,0.6351,-1.2431,1.667
0.260000,-1.0308,0.5701,-1.2861,1.744
0.268000,-1.1250,0.5366,-1.0747,1.646
0.268000,-1.1247,0.5565,-0.6635,1.419
0.272000,-1.0371,0.6276,-0.1533,1.222
0.277000,-0.8827,0.6971,0.3373,1.174
0.283000,-0.6290,0.7287,0.8079,1.257
0.287000,-0.2760,0.6725,1.2267,1.426
0.292000,0.1255,0.5782,1.5826,1.690
0.299000,0.5666,0.5040,1.8571,2.006
0.302000,1.0055,0.4185,2.1260,2.389
0.307000,1.4353,0.3955,2.3764,2.804
0.312000,1.8930,0.4369,2.5472,3.204
0.325000,2.2831,0.3781,2.7026,3.558
0.326000,2.5800,0.3189,2.9631,3.942
0.326000,2.7553,0.2527,3.2146,4.241
0.331000,2.8246,0.2131,3.3823,4.412
0.336000,2.7854,0.0229,3.3422,4.351
0.341000,2.6864,-0.1794,3.1217,4.122
0.347000,2.4845,-0.3818,2.8441,3.796
0.351000,2.2083,-0.5554,2.5621,3.428
0.356000,1.7921,-0.6764,2.2465,2.952
0.360000,1.3179,-0.6239,1.6615,2.211
0.365000,0.9290,-0.3936,0.9807,1.407
