time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.007000,0.8251,0.0294,0.2381,0.859
0.007000,0.8354,0.1679,0.2439,0.886
0.007000,0.7855,0.2233,0.1923,0.839
0.008000,0.6527,0.1810,0.0972,0.684
0.008000,0.4354,0.0950,-0.0068,0.446
0.014000,0.1563,0.0193,-0.0862,0.180
0.014000,-0.1237,-0.0094,-0.1961,0.232
0.020000,-0.2929,-0.0023,-0.3410,0.450
0.024000,-0.3647,-0.0522,-0.4949,0.617
0.029000,-0.3730,-0.0815,-0.5673,0.684
0.034000,-0.3348,-0.0393,-0.5862,0.676
0.039000,-0.2484,0.0690,-0.4900,0.554
0.044000,-0.1631,0.1147,-0.3532,0.406
0.049000,-0.0610,0.1209,-0.2437,0.279
0.054000,0.0565,0.0700,-0.1638,0.187
0.059000,0.1685,0.0350,-0.0893,0.194
0.063000,0.2694,0.0157,0.0001,0.270
0.070000,0.3360,0.0345,0.0617,0.343
0.073000,0.3660,0.0544,0.0991,0.383
0.078000,0.3763,0.0480,0.1089,0.395
0.083000,0.3810,0.0665,0.1307,0.408
0.088000,0.3870,0.0647,0.1632,0.425
0.093000,0.4289,0.0618,0.2098,0.482
0.098000,0.5054,0.0719,0.2229,0.557
0.103000,0.5973,0.0796,0.1976,0.634
0.108000,0.6821,0.0658,0.2081,0.716
0.112000,0.7469,0.0379,0.2421,0.786
0.118000,0.7646,0.0150,0.2650,0.809
0.122000,0.6938,-0.0244,0.3105,0.761
0.127000,0.5897,-0.0776,0.3569,0.694
0.132000,0.4524,-0.1269,0.3056,0.561
0.143000,0.2783,-0.1959,0.2334,0.413
0.144000,0.1055,-0.2442,0.1583,0.310
0.147000,-0.0517,-0.3253,0.1275,0.353
0.153000,-0.1932,-0.3736,0.1530,0.448
0.157000,-0.3395,-0.3800,0.1521,0.532
0.161000,-0.4929,-0.3352,0.1179,0.608
0.166000,-0.6153,-0.2386,0.1090,0.669
0.171000,-0.7026,-0.0930,0.1373,0.722
0.176000,-0.7078,0.0290,0.1774,0.730
0.181000,-0.6175,0.0976,0.2106,0.660
0.186000,-0.4073,0.1123,0.2486,0.490
0.191000,-0.1171,0.0615,0.3118,0.339
0.195000,0.2292,-0.0315,0.3727,0.439
0.201000,0.5545,-0.1226,0.4263,0.710
0.206000,0.7881,-0.1631,0.4359,0.915
0.210000,0.9391,-0.1427,0.3935,1.028
0.216000,1.0118,-0.0583,0.3638,1.077
0.221000,0.9782,0.0634,0.3668,1.047
0.225000,0.8355,0.1508,0.2916,0.898
0.230000,0.6248,0.1913,0.1850,0.679
0.237000,0.3631,0.2053,0.1373,0.439
0.240000,0.1015,0.1801,0.3111,0.374
0.244000,-0.0633,0.0851,0.5698,0.580
0.249000,-0.0992,-0.0887,0.6481,0.662
0.255000,-0.0262,-0.2991,0.4186,0.515
0.260000,0.0616,-0.4317,-0.0263,0.437
0.264000,0.0983,-0.4313,-0.3037,0.537
0.269000,0.0459,-0.3454,-0.3122,0.468
0.274000,-0.0925,-0.2756,-0.2487,0.383
0.279000,-0.3003,-0.2491,-0.3646,0.534
0.283000,-0.5369,-0.2868,-0.5188,0.800
0.288000,-0.7338,-0.3110,-0.5210,0.952
0.293000,-0.8026,-0.2900,-0.3069,0.907
0.298000,-0.7337,-0.2227,-0.0310,0.767
0.304000,-0.4761,-0.0991,0.1425,0.507
0.308000,-0.0582,0.0034,0.2237,0.231
0.313000,0.4918,0.1265,0.1995,0.546
0.318000,1.0645,0.2795,0.1724,1.114
0.323000,1.5810,0.4326,0.2500,1.658
0.328000,2.0075,0.5656,0.9990,2.313
0.332000,2.4131,0.6109,2.3257,3.407
0.338000,2.9527,0.5014,3.2484,4.418
0.342000,3.5521,0.3622,2.9410,4.626
0.347000,4.1830,0.3094,2.2163,4.744
0.356000,4.7754,0.3751,1.3359,4.973
0.359000,5.1431,0.5010,-0.0776,5.168
0.362000,5.0103,0.6739,-1.3916,5.243
0.367000,4.1639,0.7266,-1.8763,4.625
0.372000,2.6339,0.5327,-1.7573,3.211
0.376000,0.6129,0.0480,-1.6828,1.792
