time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.010000,-0.0970,0.6758,-2.9563,3.034
0.010000,0.0844,0.8097,-2.9456,3.056
0.011000,0.2732,0.8842,-2.6559,2.812
0.013000,0.5028,0.9526,-2.0579,2.323
0.017000,0.6875,0.9776,-1.3367,1.793
0.021000,0.8105,0.9257,-0.5526,1.349
0.026000,0.8623,0.8011,0.1013,1.181
0.032000,0.8251,0.6155,0.5471,1.166
0.036000,0.7255,0.3989,0.8040,1.154
0.041000,0.5695,0.1799,0.9057,1.085
0.049000,0.3788,0.0300,0.9086,0.985
0.051000,0.2249,-0.0246,0.8473,0.877
0.056000,0.1047,-0.0512,0.7197,0.729
0.061000,0.0680,-0.0165,0.5857,0.590
0.073000,0.1080,0.0644,0.4714,0.488
0.073000,0.1805,0.2039,0.2443,0.366
0.075000,0.2647,0.3223,0.0026,0.417
0.080000,0.3302,0.4344,-0.2308,0.592
0.085000,0.3741,0.5357,-0.4307,0.783
0.090000,0.4270,0.6502,-0.6256,0.998
0.095000,0.4537,0.7197,-0.8310,1.189
0.100000,0.4684,0.7281,-1.0109,1.331
0.105000,0.4482,0.6924,-1.1366,1.404
0.110000,0.4035,0.6417,-1.2404,1.454
0.115000,0.3687,0.5534,-1.2959,1.456
0.120000,0.3517,0.4515,-1.3652,1.480
0.124000,0.3547,0.3205,-1.3646,1.446
0.130000,0.3705,0.1557,-1.3456,1.404
0.135000,0.3716,-0.0023,-1.2844,1.337
0.139000,0.3936,-0.1429,-1.2454,1.314
0.144000,0.4061,-0.2723,-1.1486,1.248
0.149000,0.3971,-0.3946,-1.0000,1.146
0.154000,0.3108,-0.5497,-0.8141,1.030
0.159000,0.1592,-0.7597,-0.5050,0.926
0.165000,0.3397,-0.8006,-0.2640,0.909
0.169000,0.6266,-0.7164,-0.1006,0.957
0.173000,0.6829,-0.6702,0.1802,0.974
0.188000,0.6186,-0.6533,0.5076,1.033
0.189000,0.5383,-0.6451,0.8419,1.189
0.189000,0.4656,-0.6388,1.1781,1.419
0.193000,0.3777,-0.6450,1.4682,1.647
0.198000,0.2736,-0.6240,1.6630,1.797
0.202000,0.1620,-0.5989,1.7065,1.816
0.208000,0.0803,-0.5412,1.6500,1.738
0.213000,0.0210,-0.3993,1.4699,1.523
0.218000,-0.0044,-0.2307,1.2320,1.253
0.222000,-0.0245,-0.0166,0.9343,0.935
0.227000,0.0145,0.2328,0.6831,0.722
0.232000,0.0976,0.5139,0.4034,0.661
0.237000,0.2349,0.8341,0.1011,0.872
0.242000,0.4134,1.1647,-0.0538,1.237
0.248000,0.6286,1.5079,-0.2122,1.647
0.252000,0.8153,1.7043,-0.3500,1.921
0.256000,0.9481,1.7964,-0.4910,2.090
0.261000,0.9846,1.7821,-0.6507,2.137
0.271000,0.9169,1.7241,-0.7058,2.076
0.271000,0.7829,1.6696,-0.7379,1.986
0.276000,0.7012,1.7251,-0.7254,1.998
