time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.008000,0.8694,0.7203,-0.8997,1.444
0.009000,0.5245,0.4570,-0.9186,1.152
0.009000,0.3386,0.2713,-0.8055,0.915
0.013000,0.3093,0.2173,-0.4942,0.622
0.017000,0.1713,0.1922,-0.2666,0.371
0.022000,-0.0136,0.1709,-0.1813,0.250
0.027000,-0.1540,0.0990,-0.0290,0.185
0.032000,-0.2572,0.0724,0.3845,0.468
0.037000,-0.4123,0.0613,0.8777,0.972
0.042000,-0.5263,-0.0071,1.2257,1.334
0.047000,-0.5857,-0.0940,1.1853,1.325
0.052000,-0.5543,-0.1613,0.8237,1.006
0.056000,-0.3721,-0.1393,0.4592,0.607
0.061000,-0.1859,0.0099,0.1286,0.226
0.074000,-0.0333,0.1638,-0.1150,0.203
0.074000,0.1330,0.2690,-0.1146,0.321
0.076000,0.2248,0.3416,0.0817,0.417
0.081000,0.1926,0.2869,0.3108,0.465
0.086000,0.1207,0.2056,0.5309,0.582
0.091000,0.0580,0.0967,0.7148,0.724
0.096000,0.0049,0.0069,0.6551,0.655
0.101000,-0.0256,-0.0621,0.3431,0.350
0.105000,-0.0549,-0.0884,0.1180,0.157
0.110000,-0.0733,-0.0913,0.1156,0.165
0.115000,-0.1157,-0.0445,0.1049,0.162
0.120000,-0.1676,0.0088,0.1158,0.204
0.125000,-0.1526,0.0840,0.2003,0.265
0.130000,-0.0901,0.1406,0.1832,0.248
0.135000,0.0278,0.1732,0.1189,0.212
0.140000,0.1452,0.2120,-0.0112,0.257
0.145000,0.2155,0.2574,-0.2246,0.404
0.150000,0.1988,0.2801,-0.3839,0.515
0.157000,0.1578,0.2856,-0.4292,0.539
0.160000,0.0797,0.2726,-0.3816,0.476
0.181000,0.0449,0.2311,-0.3641,0.434
0.181000,0.0648,0.1459,-0.2649,0.309
0.181000,0.0811,0.0264,-0.0609,0.105
0.181000,0.0127,-0.1023,0.1177,0.156
0.184000,-0.0673,-0.1549,0.2010,0.263
0.188000,-0.1246,-0.1203,0.1768,0.247
0.193000,-0.1427,-0.0535,0.1255,0.197
0.203000,-0.0927,0.0454,0.0390,0.110
0.203000,-0.0121,0.1610,-0.0635,0.173
0.209000,0.0405,0.2519,-0.1165,0.280
0.219000,0.0875,0.3206,-0.1491,0.364
0.220000,0.1348,0.3852,-0.1031,0.421
0.223000,0.1963,0.4168,0.0066,0.461
0.229000,0.2701,0.3549,0.1284,0.464
0.236000,0.3186,0.3021,0.2528,0.507
0.238000,0.3487,0.2723,0.3716,0.578
0.243000,0.3593,0.2407,0.3980,0.588
0.253000,0.2965,0.2024,0.2640,0.446
0.255000,0.1653,0.1484,0.1121,0.249
0.257000,0.0659,0.0446,-0.0029,0.080
0.263000,-0.0068,-0.0823,-0.1502,0.171
0.269000,-0.1061,-0.1960,-0.3960,0.454
0.272000,-0.2327,-0.2299,-0.5913,0.676
0.277000,-0.2661,-0.2062,-0.7067,0.783
0.307000,-0.2245,-0.1933,-0.7977,0.851
