time,ax,ay,az
0.007,-0.21,0.37,-0.04
0.009,-0.21,0.37,-0.04
0.031,0.34,-0.75,0.57
0.071,0.34,-0.75,0.57
0.074,0.34,-0.75,0.57
0.106,-0.36,0.03,-0.47
0.109,-0.36,0.03,-0.47
0.11,-0.36,0.03,-0.47
0.112,-0.36,0.03,-0.47
0.185,0.38,0.18,0.2
0.188,0.38,0.18,0.2
0.19,0.38,0.18,0.2
0.223,0.35,-0.01,0.18
0.26,0.35,-0.01,0.18
0.262,0.35,-0.01,0.18
0.284,0.18,-0.09,-0.12
0.291,0.18,-0.09,-0.12
0.294,0.18,-0.09,-0.12
0.296,0.18,-0.09,-0.12
0.339,0.16,-0.03,0.14
0.35,0.16,-0.03,0.14
0.352,0.16,-0.03,0.14
0.4,0.21,-0.05,0.04
0.413,0.21,-0.05,0.04
0.416,0.21,-0.05,0.04
0.454,0.14,-0.03,0.03
0.47,0.14,-0.03,0.03
0.472,0.14,-0.03,0.03
0.473,0.14,-0.03,0.03
0.512,-0.01,-0.03,0
0.546,-0.01,-0.03,0
0.549,-0.01,-0.03,0
0.572,-0.16,-0.12,0.01
0.59,-0.16,-0.12,0.01
0.593,-0.16,-0.12,0.01
0.641,-0.27,-0.01,0.03
0.653,-0.27,-0.01,0.03
0.657,-0.27,-0.01,0.03
0.662,-0.27,-0.01,0.03
0.698,-0.09,0.19,-0.15
0.714,-0.09,0.19,-0.15
0.719,-0.09,0.19,-0.15
0.752,1.43,0.2,0.6
0.785,1.43,0.2,0.6
0.789,1.43,0.2,0.6
0.82,2.24,0.78,0.72
0.83,2.24,0.78,0.72
0.832,2.24,0.78,0.72
0.833,2.24,0.78,0.72
0.872,0.82,-0.53,0.17
0.892,0.82,-0.53,0.17
0.895,0.82,-0.53,0.17
0.952,4.49,-1.4,0.21
0.96,4.49,-1.4,0.21
0.969,4.49,-1.4,0.21
0.994,2.83,-0.5,1.09
1.035,2.83,-0.5,1.09
1.039,2.83,-0.5,1.09
1.041,2.83,-0.5,1.09
1.132,1.47,0.19,1.02
1.137,1.47,0.19,1.02
1.149,1.47,0.19,1.02
1.151,1.62,0.11,-0.04
1.154,1.62,0.11,-0.04
1.156,1.62,0.11,-0.04
1.197,1.09,0.11,-1.11
1.207,1.09,0.11,-1.11
1.222,1.09,0.11,-1.11
1.224,1.09,0.11,-1.11
1.26,0.33,-0.16,-2.12
1.262,0.33,-0.16,-2.12
1.264,0.33,-0.16,-2.12
1.293,-0.28,-0.57,-2.96
1.327,-0.28,-0.57,-2.96
1.33,-0.28,-0.57,-2.96
1.355,-1.26,-0.55,-3.62
1.377,-1.26,-0.55,-3.62
1.384,-1.26,-0.55,-3.62
1.394,-1.26,-0.55,-3.62
1.413,-1.99,-0.35,-3.77
1.453,-1.99,-0.35,-3.77
1.455,-1.99,-0.35,-3.77
1.493,-4.42,0.96,-3.68
1.496,-4.42,0.96,-3.68
1.498,-4.42,0.96,-3.68
1.545,-4.27,0.01,-2.77
1.55,-4.27,0.01,-2.77
1.557,-4.27,0.01,-2.77
1.56,-4.27,0.01,-2.77
1.596,2.84,-0.91,3.33
1.613,2.84,-0.91,3.33
1.616,2.84,-0.91,3.33
1.657,-0.35,0.95,-1.93
1.67,-0.35,0.95,-1.93
1.672,-0.35,0.95,-1.93
1.738,1.43,0.65,-0.78
1.741,1.43,0.65,-0.78
1.743,1.43,0.65,-0.78
1.749,1.43,0.65,-0.78
1.786,-0.44,-0.21,-1.34
1.793,-0.44,-0.21,-1.34
1.798,-0.44,-0.21,-1.34
1.835,-0.26,-0.03,-0.33
1.876,-0.26,-0.03,-0.33
1.879,-0.26,-0.03,-0.33
1.893,-1.16,0.14,-0.28
1.924,-1.16,0.14,-0.28
1.937,-1.16,0.14,-0.28
1.94,-1.16,0.14,-0.28
1.964,-0.65,-0.24,-0.65
1.973,-0.65,-0.24,-0.65
1.976,-0.65,-0.24,-0.65
2.031,-0.52,0.05,0.15
2.033,-0.52,0.05,0.15
2.038,-0.52,0.05,0.15
2.076,0.36,0.39,0.32
2.091,0.36,0.39,0.32
2.095,0.36,0.39,0.32
2.097,0.36,0.39,0.32
2.133,-1.11,0.46,0
2.172,-1.11,0.46,0
2.175,-1.11,0.46,0
2.195,-0.83,0.24,-0.67
2.214,-0.83,0.24,-0.67
2.217,-0.83,0.24,-0.67
2.279,-0.73,1.01,-0.95
2.283,-0.73,1.01,-0.95
2.285,-0.73,1.01,-0.95
2.287,-0.73,1.01,-0.95
2.327,-0.44,1.73,0.14
2.332,-0.44,1.73,0.14
2.334,-0.44,1.73,0.14
2.385,-2.5,4.68,-0.08
2.395,-2.5,4.68,-0.08
2.401,-2.5,4.68,-0.08
2.464,-4.25,4.87,0.75
2.471,-4.25,4.87,0.75
2.477,-4.25,4.87,0.75
2.482,-4.25,4.87,0.75
2.515,-4.59,2.84,-0.08
2.518,-4.59,2.84,-0.08
2.521,-4.59,2.84,-0.08
2.566,-3.65,2.02,-0.01
2.571,-3.65,2.02,-0.01
2.573,-3.65,2.02,-0.01
2.633,-4.69,0.98,-1.26
2.637,-4.69,0.98,-1.26
2.64,-4.69,0.98,-1.26
2.643,-4.69,0.98,-1.26
2.691,-3.19,-0.43,-1.38
2.696,-3.19,-0.43,-1.38
2.698,-3.19,-0.43,-1.38
2.734,-0.2,0.12,-2.41
2.776,-0.2,0.12,-2.41
2.778,-0.2,0.12,-2.41
2.796,2.47,0.51,-3.13
2.812,2.47,0.51,-3.13
2.815,2.47,0.51,-3.13
2.817,2.47,0.51,-3.13
2.855,5.41,-0.18,-1.5
2.888,5.41,-0.18,-1.5
2.892,5.41,-0.18,-1.5
2.939,4.78,0.46,-1.18
2.948,4.78,0.46,-1.18
2.95,4.78,0.46,-1.18
2.977,5.8,0.71,0.25
2.992,5.8,0.71,0.25
2.995,5.8,0.71,0.25
2.999,5.8,0.71,0.25
3.036,5.65,-0.68,0.58
3.081,5.65,-0.68,0.58
3.083,5.65,-0.68,0.58
3.095,8.26,6.86,-0.6
3.113,8.26,6.86,-0.6
3.116,8.26,6.86,-0.6
3.155,-0.24,-5.69,-0.46
3.213,-0.24,-5.69,-0.46
3.219,-0.24,-5.69,-0.46
3.221,-0.24,-5.69,-0.46
3.225,1.98,2.33,-1.12
3.235,1.98,2.33,-1.12
3.237,1.98,2.33,-1.12
3.276,-0.27,0.47,-0.16
3.317,-0.27,0.47,-0.16
3.32,-0.27,0.47,-0.16
3.336,0.01,-0.11,-0.12
3.368,0.01,-0.11,-0.12
3.382,0.01,-0.11,-0.12
3.384,0.01,-0.11,-0.12
3.416,-0.05,-0.04,-0.76
3.421,-0.05,-0.04,-0.76
3.423,-0.05,-0.04,-0.76
3.471,0.19,0.33,0.19
3.474,0.19,0.33,0.19
3.476,0.19,0.33,0.19
3.52,-1.45,0.24,0.3
3.534,-1.45,0.24,0.3
3.539,-1.45,0.24,0.3
3.543,-1.45,0.24,0.3
3.597,-0.72,0.17,-0.08
3.6,-0.72,0.17,-0.08
3.602,-0.72,0.17,-0.08
3.642,-1.74,0.7,-0.83
3.658,-1.74,0.7,-0.83
3.661,-1.74,0.7,-0.83
3.697,-0.84,1.56,-0.31
3.724,-0.84,1.56,-0.31
3.726,-0.84,1.56,-0.31
3.729,-0.84,1.56,-0.31
3.765,-3.67,5.39,-0.19
3.779,-3.67,5.39,-0.19
3.784,-3.67,5.39,-0.19
3.822,-3.44,6.63,-0.14
3.834,-3.44,6.63,-0.14
3.836,-3.44,6.63,-0.14
3.875,-2.84,0.73,0.92
3.906,-2.84,0.73,0.92
3.909,-2.84,0.73,0.92
3.911,-2.84,0.73,0.92
3.95,-2.62,-0.8,1.31
3.953,-2.62,-0.8,1.31
3.957,-2.62,-0.8,1.31
4.004,-4.4,-2.32,0.37
4.014,-4.4,-2.32,0.37
4.015,-4.4,-2.32,0.37
4.066,-0.43,-0.11,0.28
4.164,-0.43,-0.11,0.28
4.167,-0.43,-0.11,0.28
4.175,-0.43,-0.11,0.28
4.177,3.56,0.89,0.75
4.18,3.56,0.89,0.75
4.182,3.56,0.89,0.75
4.184,3.36,0.47,0.09
4.193,3.36,0.47,0.09
4.195,3.36,0.47,0.09
4.236,5.14,1.25,1.11
4.294,5.14,1.25,1.11
4.298,5.14,1.25,1.11
4.3,5.14,1.25,1.11
4.303,4.68,0.08,1.44
4.367,4.68,0.08,1.44
4.374,4.68,0.08,1.44
4.375,5.33,-0.34,1.15
4.377,5.33,-0.34,1.15
4.379,5.33,-0.34,1.15
4.432,-1.19,5.52,7.88
4.444,-1.19,5.52,7.88
4.45,-1.19,5.52,7.88
4.457,-1.19,5.52,7.88
4.476,-2.25,-3.78,-2.83
4.505,-2.25,-3.78,-2.83
4.516,-2.25,-3.78,-2.83
4.548,2.54,0.61,2.35
4.554,2.54,0.61,2.35
4.556,2.54,0.61,2.35
4.599,-0.44,0.75,-0.53
4.638,-0.44,0.75,-0.53
4.641,-0.44,0.75,-0.53
4.643,-0.44,0.75,-0.53
4.658,0.1,-0.13,-0.05
4.688,0.1,-0.13,-0.05
4.702,0.1,-0.13,-0.05
4.732,0.01,0.31,-0.07
4.734,0.01,0.31,-0.07
4.736,0.01,0.31,-0.07
4.776,-0.16,0.21,0
4.811,-0.16,0.21,0
4.813,-0.16,0.21,0
4.815,-0.16,0.21,0
4.839,-0.64,0.37,-0.04
4.864,-0.64,0.37,-0.04
4.866,-0.64,0.37,-0.04
4.959,-0.3,0.56,0.07
4.962,-0.3,0.56,0.07
4.965,-0.3,0.56,0.07
4.967,-1.18,0.97,-0.43
4.975,-1.18,0.97,-0.43
4.979,-1.18,0.97,-0.43
4.981,-1.18,0.97,-0.43
5.016,-2.19,1.21,0.91
5.093,-2.19,1.21,0.91
5.096,-2.19,1.21,0.91
5.101,-2.4,6.14,0.39
5.104,-2.4,6.14,0.39
5.108,-2.4,6.14,0.39
5.15,-1.1,3.41,1.94
5.159,-1.1,3.41,1.94
5.16,-1.1,3.41,1.94
5.162,-1.1,3.41,1.94
5.204,0.07,3.01,-1.62
5.235,0.07,3.01,-1.62
5.24,0.07,3.01,-1.62
5.272,-0.31,0.43,-0.64
5.276,-0.31,0.43,-0.64
5.277,-0.31,0.43,-0.64
5.318,-1.8,-2.16,0.87
5.375,-1.8,-2.16,0.87
5.377,-1.8,-2.16,0.87
5.378,-1.8,-2.16,0.87
5.38,-3.53,-2.81,2.6
5.395,-3.53,-2.81,2.6
5.397,-3.53,-2.81,2.6
5.436,-2.44,-0.2,4.19
5.475,-2.44,-0.2,4.19
5.477,-2.44,-0.2,4.19
5.496,3.11,0.67,2.93
5.529,3.11,0.67,2.93
5.532,3.11,0.67,2.93
5.534,3.11,0.67,2.93
5.575,3.86,1.67,2.93
5.578,3.86,1.67,2.93
5.58,3.86,1.67,2.93
5.634,0.8,3.52,-0.38
5.636,0.8,3.52,-0.38
5.646,0.8,3.52,-0.38
5.721,6.82,0.83,1.56
5.723,6.82,0.83,1.56
5.725,6.82,0.83,1.56
5.727,6.82,0.83,1.56
5.742,8.07,-2.21,2.25
5.754,8.07,-2.21,2.25
5.756,8.07,-2.21,2.25
5.849,-10.92,0.9,-0.59
5.852,-10.92,0.9,-0.59
5.854,-10.92,0.9,-0.59
5.857,2.66,-1.58,2.01
5.896,2.66,-1.58,2.01
5.898,2.66,-1.58,2.01
5.9,2.66,-1.58,2.01
5.917,3.75,-0.26,0.97
5.944,3.75,-0.26,0.97
5.947,3.75,-0.26,0.97
5.986,-0.52,0.23,-1.77
5.994,-0.52,0.23,-1.77
5.996,-0.52,0.23,-1.77
6.042,0.67,-0.24,-0.57
6.054,0.67,-0.24,-0.57
6.056,0.67,-0.24,-0.57
6.058,0.67,-0.24,-0.57
6.101,-0.41,-0.08,-1.04
6.115,-0.41,-0.08,-1.04
6.118,-0.41,-0.08,-1.04
6.157,-0.86,-0.11,-0.55
6.2,-0.86,-0.11,-0.55
6.203,-0.86,-0.11,-0.55
6.22,-0.96,0.01,-0.5
6.253,-0.96,0.01,-0.5
6.256,-0.96,0.01,-0.5
6.259,-0.96,0.01,-0.5
6.346,0.14,0.07,-0.24
6.349,0.14,0.07,-0.24
6.352,0.14,0.07,-0.24
6.354,-0.63,0.19,-0.45
6.357,-0.63,0.19,-0.45
6.359,-0.63,0.19,-0.45
6.41,0.04,1.2,-0.69
6.48,0.04,1.2,-0.69
6.483,0.04,1.2,-0.69
6.486,0.04,1.2,-0.69
6.488,-1.29,1.2,0.03
6.49,-1.29,1.2,0.03
