time,ax,ay,az
0.004,-0.39,-1.19,-1.18
0.004,-0.39,-1.19,-1.18
0.004,-0.39,-1.19,-1.18
0.004,-0.39,-1.19,-1.18
0.005,-0.39,-1.19,-1.18
0.005,-0.39,-1.19,-1.18
0.006,-0.17,-1.1,-1.08
0.007,-0.17,-1.1,-1.08
0.008,-0.17,-1.1,-1.08
0.011,-0.17,-1.1,-1.08
0.016,-0.17,-1.1,-1.08
0.017,-0.17,-1.1,-1.08
0.017,0.29,-0.72,-0.88
0.017,0.29,-0.72,-0.88
0.018,0.29,-0.72,-0.88
0.021,0.29,-0.72,-0.88
0.023,0.29,-0.72,-0.88
0.024,0.29,-0.72,-0.88
0.028,0.9,-0.37,-0.66
0.028,0.9,-0.37,-0.66
0.029,0.9,-0.37,-0.66
0.032,0.9,-0.37,-0.66
0.033,0.9,-0.37,-0.66
0.035,0.9,-0.37,-0.66
0.04,1.49,-0.34,-0.4
0.04,1.49,-0.34,-0.4
0.041,1.49,-0.34,-0.4
0.041,1.49,-0.34,-0.4
0.041,1.49,-0.34,-0.4
0.054,1.49,-0.34,-0.4
0.055,1.97,-0.43,-0.19
0.055,1.97,-0.43,-0.19
0.055,1.97,-0.43,-0.19
0.056,1.97,-0.43,-0.19
0.056,1.97,-0.43,-0.19
0.06,1.97,-0.43,-0.19
0.06,2.03,-0.49,-0.06
0.061,2.03,-0.49,-0.06
0.061,2.03,-0.49,-0.06
0.061,2.03,-0.49,-0.06
0.062,2.03,-0.49,-0.06
0.063,2.03,-0.49,-0.06
0.069,1.85,-0.48,0.16
0.072,1.85,-0.48,0.16
0.073,1.85,-0.48,0.16
0.087,1.85,-0.48,0.16
0.088,1.85,-0.48,0.16
0.088,1.85,-0.48,0.16
0.088,1.56,-0.32,0.43
0.088,1.56,-0.32,0.43
0.089,1.56,-0.32,0.43
0.089,1.56,-0.32,0.43
0.089,1.56,-0.32,0.43
0.09,1.56,-0.32,0.43
0.09,1.43,-0.31,0.95
0.09,1.43,-0.31,0.95
0.09,1.43,-0.31,0.95
0.091,1.43,-0.31,0.95
0.091,1.43,-0.31,0.95
0.094,1.43,-0.31,0.95
0.096,1.3,-0.3,1.31
0.097,1.3,-0.3,1.31
0.098,1.3,-0.3,1.31
0.1,1.3,-0.3,1.31
0.101,1.3,-0.3,1.31
0.103,1.3,-0.3,1.31
0.105,1.32,-0.29,1.5
0.106,1.32,-0.29,1.5
0.107,1.32,-0.29,1.5
0.11,1.32,-0.29,1.5
0.112,1.32,-0.29,1.5
0.113,1.32,-0.29,1.5
0.117,1.31,-0.25,1.47
0.117,1.31,-0.25,1.47
0.117,1.31,-0.25,1.47
0.12,1.31,-0.25,1.47
0.122,1.31,-0.25,1.47
0.123,1.31,-0.25,1.47
0.128,1.43,-0.24,1.34
0.129,1.43,-0.24,1.34
0.129,1.43,-0.24,1.34
0.131,1.43,-0.24,1.34
0.131,1.43,-0.24,1.34
0.133,1.43,-0.24,1.34
0.136,1.4,-0.16,1.14
0.136,1.4,-0.16,1.14
0.136,1.4,-0.16,1.14
0.14,1.4,-0.16,1.14
0.141,1.4,-0.16,1.14
0.148,1.4,-0.16,1.14
0.148,1.4,-0.16,1.14
0.148,1.4,-0.16,1.14
0.149,1.34,-0.13,1.04
0.151,1.34,-0.13,1.04
0.152,1.34,-0.13,1.04
0.153,1.34,-0.13,1.04
0.156,1.24,-0.19,1
0.156,1.24,-0.19,1
0.157,1.24,-0.19,1
0.177,1.24,-0.19,1
0.177,1.24,-0.19,1
0.178,1.24,-0.19,1
0.178,1.24,-0.38,1.02
0.178,1.24,-0.38,1.02
0.179,1.24,-0.38,1.02
0.179,1.24,-0.38,1.02
0.179,1.24,-0.38,1.02
0.179,1.24,-0.38,1.02
0.208,1.09,-0.54,1.01
0.209,1.09,-0.54,1.01
0.209,1.09,-0.54,1.01
0.21,1.09,-0.54,1.01
0.21,1.09,-0.54,1.01
0.21,1.09,-0.54,1.01
0.211,1.07,-0.65,1.02
0.211,1.07,-0.65,1.02
0.212,1.07,-0.65,1.02
0.212,1.07,-0.65,1.02
0.213,1.07,-0.65,1.02
0.213,1.07,-0.65,1.02
0.213,1.11,-0.66,0.98
0.214,1.11,-0.66,0.98
0.214,1.11,-0.66,0.98
0.215,1.11,-0.66,0.98
0.215,1.11,-0.66,0.98
0.216,1.11,-0.66,0.98
0.216,1.35,-0.63,0.88
0.216,1.35,-0.63,0.88
0.217,1.35,-0.63,0.88
0.217,1.35,-0.63,0.88
0.217,1.35,-0.63,0.88
0.218,1.35,-0.63,0.88
0.218,1.47,-0.56,0.67
0.218,1.47,-0.56,0.67
0.218,1.47,-0.56,0.67
0.23,1.47,-0.56,0.67
0.231,1.47,-0.56,0.67
0.231,1.47,-0.56,0.67
0.231,1.65,-0.5,0.47
0.232,1.65,-0.5,0.47
0.232,1.65,-0.5,0.47
0.232,1.65,-0.5,0.47
0.241,1.65,-0.5,0.47
0.242,1.65,-0.5,0.47
0.242,1.72,-0.4,0.31
0.242,1.72,-0.4,0.31
0.242,1.72,-0.4,0.31
0.245,1.72,-0.4,0.31
0.245,1.72,-0.4,0.31
0.245,1.72,-0.4,0.31
0.248,1.78,-0.34,0.26
0.248,1.78,-0.34,0.26
0.248,1.78,-0.34,0.26
0.252,1.78,-0.34,0.26
0.253,1.78,-0.34,0.26
0.253,1.78,-0.34,0.26
0.256,1.76,-0.29,0.29
0.256,1.76,-0.29,0.29
0.258,1.76,-0.29,0.29
0.26,1.76,-0.29,0.29
0.261,1.76,-0.29,0.29
0.263,1.76,-0.29,0.29
0.265,1.85,-0.21,0.46
0.266,1.85,-0.21,0.46
0.267,1.85,-0.21,0.46
0.27,1.85,-0.21,0.46
0.271,1.85,-0.21,0.46
0.273,1.85,-0.21,0.46
0.278,1.81,-0.21,0.53
0.278,1.81,-0.21,0.53
0.278,1.81,-0.21,0.53
0.282,1.81,-0.21,0.53
0.283,1.81,-0.21,0.53
0.283,1.81,-0.21,0.53
0.285,1.74,-0.34,0.57
0.285,1.74,-0.34,0.57
0.287,1.74,-0.34,0.57
0.29,1.74,-0.34,0.57
0.303,1.74,-0.34,0.57
0.304,1.74,-0.34,0.57
0.304,1.48,-0.36,0.44
0.304,1.48,-0.36,0.44
0.304,1.48,-0.36,0.44
0.304,1.48,-0.36,0.44
0.305,1.48,-0.36,0.44
0.305,1.48,-0.36,0.44
0.306,1.23,-0.33,0.33
0.307,1.23,-0.33,0.33
0.307,1.23,-0.33,0.33
0.311,1.23,-0.33,0.33
0.311,1.23,-0.33,0.33
0.313,1.23,-0.33,0.33
0.315,1.05,-0.22,0.18
0.316,1.05,-0.22,0.18
0.32,1.05,-0.22,0.18
0.32,1.05,-0.22,0.18
0.321,1.05,-0.22,0.18
0.337,1.05,-0.22,0.18
0.338,1.08,-0.17,0.11
0.338,1.08,-0.17,0.11
0.338,1.08,-0.17,0.11
0.338,1.08,-0.17,0.11
0.338,1.08,-0.17,0.11
0.338,1.08,-0.17,0.11
0.339,1.23,-0.13,0.1
0.339,1.23,-0.13,0.1
0.341,1.23,-0.13,0.1
0.341,1.23,-0.13,0.1
0.358,1.23,-0.13,0.1
0.358,1.23,-0.13,0.1
0.359,1.48,-0.08,0.07
0.359,1.48,-0.08,0.07
0.359,1.48,-0.08,0.07
0.359,1.48,-0.08,0.07
0.359,1.48,-0.08,0.07
0.36,1.48,-0.08,0.07
0.36,1.69,0.02,-0.05
0.36,1.69,0.02,-0.05
