time,ax,ay,az
0.043,-0.28,0.36,0.55
0.044,-0.28,0.36,0.55
0.044,-0.28,0.36,0.55
0.044,-0.28,0.36,0.55
0.044,-0.28,0.36,0.55
0.045,-0.44,0.3,0.67
0.045,-0.44,0.3,0.67
0.045,-0.44,0.3,0.67
0.046,-0.44,0.3,0.67
0.046,-0.44,0.3,0.67
0.046,-0.44,0.3,0.67
0.046,-0.13,0.19,0.48
0.047,-0.13,0.19,0.48
0.047,-0.13,0.19,0.48
0.047,-0.13,0.19,0.48
0.047,-0.13,0.19,0.48
0.048,-0.13,0.19,0.48
0.048,0.5,-0.01,0.31
0.048,0.5,-0.01,0.31
0.048,0.5,-0.01,0.31
0.049,0.5,-0.01,0.31
0.049,0.5,-0.01,0.31
0.049,0.5,-0.01,0.31
0.049,0.73,0.02,0.11
0.05,0.73,0.02,0.11
0.05,0.73,0.02,0.11
0.05,0.73,0.02,0.11
0.05,0.73,0.02,0.11
0.051,0.73,0.02,0.11
0.051,0.64,0.11,0.03
0.051,0.64,0.11,0.03
0.051,0.64,0.11,0.03
0.052,0.64,0.11,0.03
0.052,0.64,0.11,0.03
0.052,0.64,0.11,0.03
0.053,0.46,0.01,0.05
0.053,0.46,0.01,0.05
0.053,0.46,0.01,0.05
0.053,0.46,0.01,0.05
0.054,0.46,0.01,0.05
0.054,0.46,0.01,0.05
0.054,0.48,-0.09,0.04
0.054,0.48,-0.09,0.04
0.055,0.48,-0.09,0.04
0.055,0.48,-0.09,0.04
0.055,0.48,-0.09,0.04
0.056,0.48,-0.09,0.04
0.063,0.5,-0.08,-0.24
0.063,0.5,-0.08,-0.24
0.063,0.5,-0.08,-0.24
0.063,0.5,-0.08,-0.24
0.064,0.5,-0.08,-0.24
0.065,0.5,-0.08,-0.24
0.071,0.18,0.12,-0.72
0.071,0.18,0.12,-0.72
0.071,0.18,0.12,-0.72
0.072,0.18,0.12,-0.72
0.073,0.18,0.12,-0.72
0.075,0.18,0.12,-0.72
0.077,-0.21,0.37,-0.64
0.078,-0.21,0.37,-0.64
0.079,-0.21,0.37,-0.64
0.083,-0.21,0.37,-0.64
0.084,-0.21,0.37,-0.64
0.085,-0.21,0.37,-0.64
0.088,-0.62,0.39,-0.21
0.088,-0.62,0.39,-0.21
0.088,-0.62,0.39,-0.21
0.091,-0.62,0.39,-0.21
0.093,-0.62,0.39,-0.21
0.095,-0.62,0.39,-0.21
0.097,-0.71,0.29,-0.16
0.098,-0.71,0.29,-0.16
0.099,-0.71,0.29,-0.16
0.101,-0.71,0.29,-0.16
0.104,-0.71,0.29,-0.16
0.105,-0.71,0.29,-0.16
0.107,-0.32,0.25,-0.39
0.107,-0.32,0.25,-0.39
0.109,-0.32,0.25,-0.39
0.111,-0.32,0.25,-0.39
0.115,-0.32,0.25,-0.39
0.116,-0.32,0.25,-0.39
0.117,0.32,0.18,-0.76
0.117,0.32,0.18,-0.76
0.118,0.32,0.18,-0.76
0.12,0.32,0.18,-0.76
0.123,0.32,0.18,-0.76
0.124,0.32,0.18,-0.76
0.128,0.85,0.07,-0.91
0.128,0.85,0.07,-0.91
0.128,0.85,0.07,-0.91
0.131,0.85,0.07,-0.91
0.133,0.85,0.07,-0.91
0.135,0.85,0.07,-0.91
0.139,1.01,0.25,-0.7
0.14,1.01,0.25,-0.7
0.14,1.01,0.25,-0.7
