class,mean(ax),std(ax),min(ax),25th(ax),50th(ax),75th(ax),max(ax),mean(ay),std(ay),min(ay),25th(ay),50th(ay),75th(ay),max(ay),mean(az),std(az),min(az),25th(az),50th(az),75th(az),max(az),mean(aT),std(aT),min(aT),25th(aT),50th(aT),75th(aT),max(aT),mean(freq)
Song-Pocket,0.43216477069130177,1.518483398039086,-3.676883325647138,-0.5307124918054019,0.24742330349134173,1.1479765745766084,5.995085620293542,-0.2925265559590026,2.6375412005291294,-9.448822135671321,-1.2284422552142373,-0.1879879697707303,0.9967695590572347,8.86843587844178,-0.16091511765590288,2.599670519923501,-11.742205186869644,-0.7821526880231735,-0.05870157172827492,0.6263487538050246,6.7260678652898145,3.8414269350118935,2.810855244613732,0.6492860636199169,1.784601554343754,2.997473620810395,5.232475453290401,15.337939912414775,0.06251736593500823
Song-Pocket,-0.40472098612970187,2.379582853361207,-4.462897787646985,-2.00019700120015,-0.8503159134058853,0.5472076575692618,7.697524293989554,-0.9525328630915378,3.0129753874637633,-7.897779913225937,-3.5954083652331965,-0.7663213730490084,0.7033393647380166,6.076795012235074,-0.9787259150012442,5.615445836638297,-17.57675937258642,-5.088917550584614,-0.6133044609663888,3.8261086046140864,7.477903686878017,7.022865918093929,3.4173331211096047,1.7217457649702808,4.909118187329066,6.348670355834219,8.285535219013271,21.164111370410293,0.06251736593500823
Song-Pocket,-0.5410950697181836,2.5852387634458145,-5.509477480432948,-2.3615375769800373,-1.106892532221282,0.7239672985512657,7.638874295945536,-1.122047288003235,3.790063994906653,-30.31718797905067,-3.9081162724895337,-1.141622621877726,0.7032201172154273,7.255004059784753,-1.2995254591225638,6.135527541184929,-20.324191890303688,-5.528829826571209,-1.189970769704972,3.95463230958818,8.946729426566584,7.8541403343340725,4.044704416106422,1.7584535631949891,5.424819938032069,7.032143341874543,8.971507324228622,32.274877997761784,0.06251736593500823
Song-Pocket,-0.4341390301569742,2.5523518461491537,-5.533853921417227,-2.0714817383666304,-1.0204648441537536,0.757228691622506,7.083022278078742,-0.9240961794343726,3.3894082699037535,-8.001795669884906,-3.913760217149256,-0.7646499959417058,0.736646485423297,6.420159783695126,-1.2418226055078865,6.065536221791173,-18.004606551686184,-5.585293571030673,-1.4091519350203197,4.170962899445087,7.788155019789254,7.6262013131570034,3.506321347555459,1.7457901571821217,5.544899920331611,7.190226857192684,8.644516868872351,21.14545430801351,1.3742365352581771
Song-Pocket,-0.5021364995051584,2.8309076623389835,-5.238850000173618,-2.446965165466296,-1.0545913212181595,0.5690127700081463,8.83963268723273,-1.0179049973246619,3.5103465177793414,-8.362273146573648,-3.840786226261612,-0.8265653649625229,0.6557874700440354,7.37538248639923,-1.2334908164990364,6.310971893860756,-20.390835994666695,-6.041844472797948,-0.705437204612316,4.294568159236284,8.610620065497757,8.012052198675539,3.8973761564688707,1.6584247505166754,5.7058272172120725,7.35563062718262,9.153493805823079,24.737241578652107,0.06251736593500823
Song-Pocket,0.04911565861193859,2.9688107290666004,-5.592999686462113,-2.297501729820781,0.13477134222037596,1.757965445558391,8.12521672698025,-0.8457348940433694,3.362901739993514,-6.799066980801216,-3.96169331449898,-0.7450548032804084,1.2959404418183353,6.59548647710206,-1.0923430000013725,6.097678789239887,-19.08145482805956,-5.3916218326353365,0.2628742309987281,3.8840626016486466,8.039165925406147,7.664712294619827,3.746353291901419,1.8167361760911984,5.08796553648364,7.339788925570639,8.826370451685612,21.631817361512404,0.06251736593500823
Vafa-Pocket,-0.11261755461263556,2.841946443504449,-5.62938273108723,-2.276662890835897,-0.3194936818046682,1.4787384674580668,7.682226018378233,-0.9095751410919517,3.5437699266761884,-7.384562662408606,-4.045607812191978,-0.7572460340372911,0.9839604139578897,7.093941754897372,-1.0409144108074522,6.108259790767024,-19.278416253668684,-5.339627682448603,-0.3725152065573798,3.9800965683469753,7.821329686961742,7.738874697781343,3.724609075085783,1.9255428331555924,5.588159773189291,7.407181211516822,8.691273198753603,22.346234250214174,0.06265629341484669
Vafa-Pocket,0.5263494560299037,2.6794986926397595,-8.16451321507551,-1.025210207224657,1.0249446638826336,2.3962067414436508,5.926602920152264,-0.7747162649462769,3.8579181290374827,-22.11182905478848,-3.3545887718685714,-0.7780147885642631,1.2518410571473626,8.248555800174294,0.4154533052494087,5.220528953411321,-7.825202328237086,-3.889902238917597,-0.09566658036518169,3.8907925950544024,17.114991472234504,7.316706347053,3.716383546978128,1.8666284175587646,4.932383716872447,6.888586123699957,8.416801171184682,25.24739590778308,1.3788215675375284
Vafa-Pocket,-0.5500565828518025,2.4261492593554537,-4.476737332109542,-2.1972238999456644,-0.886403435339085,0.21254502714785675,7.273918082581265,-0.956575857277675,3.328691098287653,-7.04081728664016,-3.7527647207418355,-0.7516771943044835,0.5365109643310613,7.2618963586953456,-1.2317041908352413,6.0849063262949485,-18.107791784812484,-5.830898855606584,-0.9329630156197635,4.212988581224332,7.864639663964348,7.597346512825417,3.6172559082047306,1.4969356556564475,5.277643717454087,6.992536235134544,9.091918718048788,21.65586765285233,0.0624826437100694
Vafa-Pocket,-0.42475646670958545,2.506098596586352,-6.946210572141349,-1.946960725932131,-0.5842978560315761,0.9454401980593079,7.4400088005540015,-0.585693112015414,2.5040497509652955,-7.0637900812487935,-2.702443963276944,-0.28706703441972187,1.1371818212439115,5.802120913490276,-0.7743513625818487,4.16468711043326,-17.65166005521334,-3.0051291234829223,-0.8261827895872424,2.5208416072983364,6.620317569677447,5.568397163336939,2.9009972456232926,1.718173678022406,3.6797634265636328,4.944672663440843,6.691067905027395,20.578366197541037,0.06251732741893079
